Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
The Mighty Ducks: Game Changers,2006,7.5,"4,049",None,Series,TV-PG,11,None,None,Mild,Mild,None,Comedy, Drama, Sport
Bugsy Malone,1976,6.8,"17,228",93,Film,G,-,None,None,None,Mild,None,Comedy, Crime, Family
Cyst,2020,4.5,272,69,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Horror, Sci-Fi
To the Lake,2019,7.3,"11,279",None,Series,TV-MA,9,Moderate,Severe,Moderate,Moderate,Moderate,Drama, Sci-Fi, Thriller
Touched by an Angel,2019,6,"6,766",60,Series,TV-G,211,None,Mild,Mild,Mild,Mild,Drama, Family, Fantasy
Durante la tormenta,2018,7.4,"49,608",128,Film,TV-MA,-,Mild,Mild,Mild,Mild,Mild,Drama, Fantasy, Mystery
High Noon,1952,8,"101,009",85,Film,PG,-,None,Mild,None,Mild,Mild,Drama, Thriller, Western
Joey,1952,6,"42,116",22,Series,TV-14,46,Mild,None,Mild,Mild,None,Comedy, Romance,
The Benchwarmers,2006,5.5,"49,754",85,Film,PG-13,-,Mild,Mild,Mild,Mild,None,Comedy, Sport,
The Other Boleyn Girl,2008,6.7,"108,576",115,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate,Biography, Drama, History
Penteuhauseu,2008,8.1,"1,847",70,Series,None,52,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, Mystery
Green Acres,2008,7.2,"6,297",30,Series,TV-G,170,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Family,
Dreamland,2019,5.8,"4,782",98,Film,R,-,Moderate,Mild,Moderate,None,Mild,Drama, Thriller,
The Golden Child,1986,6,"54,371",94,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Comedy
It Had to Be You,2000,5.7,"1,884",96,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Romance,
Secondhand Lions,2003,7.5,"55,894",111,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Comedy, Drama, Family
Firebird,2021,7.8,"2,855",107,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Romance,
The Dragon Prince,2021,8.4,"19,443",26,Series,TV-Y7,27,None,Mild,None,None,Mild,Animation, Adventure, Drama
Allegiant,2016,5.7,"115,284",120,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Action, Adventure, Mystery
Cam,2018,5.9,"29,553",94,Film,TV-MA,-,Severe,Moderate,Moderate,Mild,Moderate,Drama, Horror, Mystery
Rush Hour 3,2007,6.2,"160,113",91,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Moderate,Action, Comedy, Crime
Patriot Games,1992,6.9,"107,865",117,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Thriller,
Point Break,2015,5.3,"60,698",114,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Adventure, Crime
Water,1985,6.1,"2,362",115,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild,Adventure, Comedy, Drama
Animal Kingdom,2010,7.3,"56,420",113,Film,R,-,None,Moderate,Severe,Severe,Moderate,Crime, Drama,
The Taking,2014,6,"29,133",90,Film,R,-,Mild,Moderate,Moderate,Mild,Severe,Horror, Mystery, Thriller
The Bad Guys,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
Judge Dredd,1995,5.6,"114,448",96,Film,R,-,None,Severe,Mild,Mild,Moderate,Action, Crime, Sci-Fi
Sin-gwa ham-kke: Jwi-wa beol,2017,7.3,"13,707",139,Film,Not Rated,-,None,Moderate,Moderate,Mild,Moderate,Action, Drama, Fantasy
Bull Durham,1988,7.1,"51,638",108,Film,R,-,Moderate,Mild,Severe,Mild,None,Comedy, Romance, Sport
Blue's Clues,1988,6.9,"5,420",25,Series,TV-Y,176,None,None,None,None,None,Animation, Comedy, Family
Dharma & Greg,1988,6.3,"29,509",30,Series,TV-PG,119,Mild,Mild,Mild,Mild,None,Comedy, Romance,
Ophelia,2018,6.6,"9,539",114,Film,PG-13,-,Mild,Mild,None,None,Mild,Drama, Romance, Thriller
Lars and the Real Girl,2007,7.3,"142,000",106,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
The Skeleton Key,2005,6.5,"110,280",104,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Drama, Horror, Mystery
The Perfection,2018,6.2,"39,662",90,Film,TV-MA,-,Moderate,Severe,Severe,Moderate,Severe,Drama, Horror, Music
I Dream Too Much,1935,5.4,563,97,Film,Passed,-,Mild,Mild,None,Mild,None,Comedy, Romance, Musical
Frances Ha,2012,7.5,"79,230",86,Film,R,-,Mild,None,Moderate,Mild,None,Comedy, Drama, Romance
Sin nombre,2009,7.6,"32,071",96,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate,Adventure, Crime, Drama
Seulgirowun Gamppangsaenghwal,2009,8.4,"2,524",90,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama,
Boys Don't Cry,1999,7.5,"95,199",118,Film,R,-,Severe,Severe,Severe,Moderate,Severe,Biography, Crime, Drama
Between Two Ferns: The Movie,2019,6.1,"29,180",82,Film,TV-MA,-,Mild,Mild,Moderate,Mild,None,Comedy,,
Joe Dirt,2001,6,"54,504",91,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild,Adventure, Comedy, Drama
Now and Then,1995,6.8,"28,474",100,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Comedy, Drama, Romance
The Transporter,2002,6.8,"293,541",92,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Crime, Thriller
The Wolf of Snow Hollow,2020,6.2,"15,505",83,Film,R,-,Mild,Severe,Severe,Moderate,Moderate,Comedy, Horror, Mystery
Taeksi woonjunsa,2017,7.9,"20,311",137,Film,Not Rated,-,None,Moderate,Mild,Mild,Moderate,Action, Drama, History
Outside the Wire,2021,5.4,"38,983",114,Film,R,-,None,Moderate,Severe,Mild,Moderate,Action, Adventure, Fantasy
Ran,1985,8.2,"119,814",162,Film,R,-,None,Severe,Mild,None,Moderate,Action, Drama, War
Disaster Movie,2008,1.9,"89,557",87,Film,PG-13,-,Moderate,Severe,Severe,Severe,Severe,Comedy, Sci-Fi,
Surge,2020,6.2,"1,354",105,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Thriller,,
Hot Shots!,1991,6.8,"103,840",84,Film,PG-13,-,Mild,Mild,Moderate,Mild,None,Action, Comedy,
Waterloo Road,1991,7.2,"3,003",53,Series,TV-14,201,Mild,Mild,Mild,Moderate,Moderate,Drama, Romance,
Greek,1991,7.5,"24,014",60,Series,TV-14,74,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama, Family
Trolls,2016,6.5,"76,495",92,Film,PG,-,None,None,Mild,None,Mild,Animation, Adventure, Comedy
Der Name der Rose,1986,7.7,"105,392",130,Film,R,-,Moderate,Moderate,Mild,None,Moderate,Crime, Drama, Mystery
Short Circuit,1986,6.7,"59,570",98,Film,PG,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Family, Sci-Fi
The Proposition,2005,7.3,"51,575",104,Film,R,-,Mild,Severe,Severe,Mild,Severe,Crime, Drama, Western
Doomsday,2008,5.9,"75,410",113,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Sci-Fi, Thriller
Song to Song,2017,5.7,"20,192",129,Film,R,-,Moderate,Mild,Moderate,Moderate,None,Drama, Music, Romance
Dragged Across Concrete,2018,6.9,"42,145",158,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Action, Crime, Drama
Get Smart,2008,6.5,"210,717",110,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Action, Adventure, Comedy
The Long Kiss Goodnight,1996,6.8,"76,733",121,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Crime, Drama
Spinning Out,2020,7.6,"12,369",48,Series,TV-MA,10,Moderate,Mild,Moderate,Moderate,Mild,Drama, Sport,
Save Me,2020,7.7,"5,011",270,Series,TV-MA,18,Mild,Mild,Moderate,Moderate,No Rate,Drama, Mystery,
The Republic of Sarah,2021,5.6,723,None,Series,TV-14,13,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Cocktail,1988,5.9,"82,400",104,Film,R,-,Mild,Moderate,Moderate,Moderate,Mild,Comedy, Drama, Romance
10 Years,2011,6.1,"25,016",110,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
Scott & Bailey,2011,8,"7,743",45,Series,TV-14,33,Mild,Mild,Moderate,Mild,No Rate,Crime, Drama, Mystery
House at the End of the Street,2012,5.6,"75,314",101,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Drama, Horror, Thriller
"Luchshe, chem lyudi",2012,7.4,"7,863",52,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Sci-Fi,
Twist,2021,4.1,"2,261",90,Film,R,-,Mild,Moderate,Moderate,Moderate,Mild,Action, Drama,
Raven's Home,2021,7.3,"2,802",22,Series,TV-G,82,None,None,None,None,None,Comedy, Family,
Young Guns,1988,6.9,"58,138",107,Film,R,-,Mild,Moderate,Moderate,Moderate,Mild,Action, Western,
Yoga Hosers,2016,4.3,"13,280",88,Film,PG-13,-,Mild,Mild,Mild,Mild,No Rate,Action, Comedy, Fantasy
The Postman,1997,6.1,"71,409",177,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Shin Evangelion Gekijôban,2021,8.1,"6,327",154,Film,TV-MA,-,Moderate,Moderate,Mild,None,Severe,Animation, Action, Drama
Dumbo,2019,6.3,"71,014",112,Film,PG,-,None,Mild,None,None,Mild,Adventure, Family, Fantasy
Posledniy bogatyr. Koren' Zla,2021,5.9,700,121,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Adventure, Comedy, Family
Step Up,2006,6.5,"114,396",104,Film,PG-13,-,None,Mild,Mild,Mild,Mild,Crime, Drama, Music
World Trade Center,2006,5.9,"81,885",129,Film,PG-13,-,None,Moderate,Moderate,Mild,Severe,Drama, History, Thriller
Cocomelon,2006,4.5,358,None,Series,TV-PG,80,None,None,None,None,Moderate,Animation, Comedy, Family
Seventh Son,2014,5.5,"74,580",102,Film,PG-13,-,None,Moderate,Mild,Mild,Mild,Action, Adventure, Fantasy
Failure to Launch,2006,5.6,"77,577",97,Film,PG-13,-,Mild,Mild,Mild,Mild,None,Comedy, Romance,
Out of Sight,1998,7,"89,535",123,Film,R,-,Mild,Moderate,Severe,Mild,Mild,Comedy, Crime, Drama
Small Soldiers,1998,6.2,"96,238",108,Film,PG-13,-,None,Mild,Mild,Mild,Mild,Action, Adventure, Comedy
Work in Progress,1998,7.2,"1,682",30,Series,TV-MA,18,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy,,
The Glass Castle,2017,7.1,"31,906",127,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Moderate,Biography, Drama,
Revolver,2005,6.4,"92,713",111,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Action, Crime, Drama
Evan Almighty,2007,5.4,"143,357",96,Film,PG,-,Mild,Mild,Mild,None,None,Comedy, Family, Fantasy
Cabin Fever,2002,5.6,"76,101",93,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Horror,,
In Plain Sight,2002,7.3,"11,287",60,Series,TV-14,61,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, Mystery
37°2 le matin,1986,7.4,"20,377",185,Film,Unrated,-,Severe,Moderate,Moderate,Moderate,Moderate,Drama, Romance,
First Cow,2019,7.1,"15,010",122,Film,PG-13,-,None,None,Mild,Mild,Mild,Drama, Western,
The Brown Bunny,2003,5,"15,043",93,Film,Not Rated,-,Severe,Mild,Mild,Mild,None,Drama,,
Snakes on a Plane,2006,5.4,"136,125",105,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate,Action, Adventure, Crime
The Bridges of Madison County,1995,7.6,"77,264",135,Film,PG-13,-,Moderate,None,Mild,Mild,None,Drama, Romance,
Can't Hardly Wait,1998,6.5,"48,497",100,Film,PG-13,-,Mild,None,Moderate,Severe,None,Comedy, Romance,
Get Shorty,1998,8.2,"6,661",60,Series,TV-MA,27,Moderate,Severe,Moderate,Moderate,Mild,Comedy, Crime,
Halloween Wars,1998,7.8,495,42,Series,TV-G,53,No Rate,No Rate,No Rate,No Rate,No Rate,Family, Game-Show, Reality-TV
My Own Private Idaho,1991,7,"53,866",104,Film,R,-,Moderate,Mild,Moderate,Moderate,Moderate,Drama,,
The Laundromat,2019,6.3,"47,733",96,Film,R,-,Moderate,Mild,Mild,Mild,Mild,Comedy, Crime, Drama
Homicide: Life on the Street,2019,8.6,"12,197",60,Series,TV-14,122,Moderate,Severe,Mild,Mild,Severe,Crime, Drama, Mystery
Taken 2,2012,6.3,"297,908",92,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Crime, Thriller
Amores perros,2000,8.1,"232,561",154,Film,R,-,Moderate,Severe,Severe,Mild,Severe,Drama, Thriller,
Entrapment,1999,6.3,"111,773",113,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Action, Crime, Romance
A Different World,1999,6.9,"6,358",60,Series,TV-PG,144,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy,,
Taps,1981,6.8,"17,458",126,Film,PG,-,Mild,Mild,Mild,Mild,Moderate,Drama,,
Emmerdale Farm,1981,4.8,"3,057",30,Series,TV-PG,8036,Moderate,Moderate,Mild,Moderate,Severe,Drama, Romance,
Meet the Spartans,2008,2.8,"106,020",87,Film,PG-13,-,Moderate,Moderate,Moderate,Moderate,Severe,Comedy, Fantasy,
Trying,2008,7.7,"5,342",30,Series,TV-14,17,Mild,None,No Rate,No Rate,No Rate,Comedy,,
Giri/Haji,2019,7.9,"12,497",461,Series,TV-MA,8,Moderate,Severe,Moderate,Severe,Moderate,Crime, Drama, Mystery
Staged,2019,8.6,"5,487",22,Series,Not Rated,14,None,None,Severe,Mild,None,Comedy, Drama,
Pocahontas,1995,6.7,"177,837",81,Film,G,-,None,Mild,None,None,Mild,Animation, Adventure, Drama
Ci sha xiao shuo jia,2021,6.2,"1,758",130,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Crime
A Hidden Life,2019,7.4,"21,688",174,Film,PG-13,-,None,Moderate,None,Mild,Moderate,Biography, Drama, Romance
The Ward,2010,5.6,"41,603",89,Film,R,-,None,Moderate,Mild,Mild,Moderate,Horror, Mystery, Thriller
Here Today,2021,6.5,"2,025",93,Film,PG-13,-,None,None,Moderate,None,Mild,Comedy, Drama,
Cujo,1983,6.1,"43,350",93,Film,R,-,Mild,Moderate,Moderate,Mild,Severe,Horror, Thriller,
The Searchers,1956,7.9,"85,504",119,Film,Passed,-,None,Mild,Mild,Mild,Mild,Adventure, Drama, Western
Burden of Truth,1956,7.3,"3,726",44,Series,TV-PG,34,Mild,No Rate,No Rate,No Rate,No Rate,Drama,,
Underworld: Evolution,2006,6.7,"194,920",106,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate,Action, Fantasy, Thriller
Minions: The Rise of Gru,2022,No Rate,No Votes,90,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
The Long Call,2022,No Rate,No Votes,None,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama,
This Is Where I Leave You,2014,6.6,"76,490",103,Film,R,-,Mild,Mild,Severe,Moderate,Mild,Comedy, Drama,
Superhost,2021,5.8,"1,362",84,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror, Thriller,
Fatale,2020,5.4,"8,182",102,Film,R,-,Mild,Mild,Moderate,No Rate,No Rate,Thriller,,
Braqueurs,2015,6.3,"4,889",81,Film,TV-MA,-,Moderate,Moderate,Moderate,Mild,Mild,Action, Crime, Drama
Generation,2021,6.8,"4,045",30,Series,TV-MA,16,Severe,Mild,Severe,Moderate,Severe,Comedy, Drama,
Power Rangers: Dino Fury,2021,6.8,309,21,Series,TV-Y7,44,Mild,Moderate,None,None,Mild,Action, Adventure, Comedy
Air Force One,1997,6.5,"188,197",124,Film,R,-,None,Moderate,Moderate,Mild,Moderate,Action, Drama, Thriller
El mariachi,1992,6.9,"65,453",81,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Crime, Thriller
Shazam! Fury of the Gods,2023,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Comedy
Locked Down,2021,5.2,"9,994",118,Film,R,-,Mild,None,Moderate,Mild,Mild,Comedy, Crime, Romance
47 Meters Down,2017,5.7,"52,097",89,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Adventure, Drama, Horror
After Earth,2013,4.8,"196,546",100,Film,PG-13,-,None,Moderate,None,None,Moderate,Action, Adventure, Sci-Fi
13 Minutes (II),2021,No Rate,No Votes,108,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Drama, Thriller
Night at the Museum: Battle of the Smithsonian,2009,6,"185,936",105,Film,PG,-,None,Mild,Mild,None,Mild,Adventure, Comedy, Family
Just Friends,2005,6.2,"111,134",96,Film,PG-13,-,Moderate,Mild,Mild,Mild,None,Comedy, Romance,
The Handmaid's Tale,1990,6,"9,458",109,Film,R,-,Moderate,Severe,Moderate,Mild,Mild,Drama, Romance, Sci-Fi
Traces,1990,6.9,"3,396",45,Series,TV-14,12,Mild,Moderate,Severe,Moderate,Mild,Crime, Mystery, Thriller
Triple 9,2016,6.3,"70,090",115,Film,R,-,Moderate,Severe,Severe,Severe,Moderate,Action, Crime, Thriller
The Maltese Falcon,1941,8,"153,730",100,Film,Passed,-,None,Mild,None,Mild,None,Crime, Film-Noir, Mystery
Due Date,2010,6.5,"333,119",95,Film,R,-,Mild,Mild,Severe,Moderate,Mild,Comedy, Drama,
The Cat in the Hat,2003,4,"79,938",82,Film,PG,-,Moderate,Mild,Mild,Mild,Moderate,Adventure, Comedy, Family
Stepmom,1998,6.8,"64,129",125,Film,PG-13,-,Mild,None,Moderate,Mild,Mild,Comedy, Drama,
Splash,1984,6.3,"73,908",111,Film,PG,-,Moderate,Mild,Mild,Mild,Mild,Comedy, Fantasy, Romance
Saw V,2008,5.8,"120,431",92,Film,R,-,None,Severe,Severe,Mild,Severe,Crime, Horror, Mystery
Mistresses,2008,7.6,"1,960",60,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Adam: The Mirror,2017,6.9,"1,187",7,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Short, Sci-Fi
Crossing Jordan,2017,7,"10,696",60,Series,TV-14,117,No Rate,Severe,Severe,No Rate,No Rate,Crime, Drama, Mystery
Mr. Right,2015,6.4,"53,543",95,Film,R,-,Mild,Moderate,Severe,Mild,Mild,Action, Comedy, Romance
Je Suis Karl,2021,5.4,514,126,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Romance, Thriller
Perception,2021,7.5,"20,238",42,Series,TV-14,39,Mild,Mild,Moderate,Mild,Mild,Crime, Drama, Mystery
Space Cowboys,2000,6.5,"78,341",130,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Action, Adventure, Thriller
The Water Man,2020,5.4,"3,081",91,Film,PG,-,None,Moderate,Moderate,None,Moderate,Adventure, Drama, Family
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,"47,000",87,Film,TV-MA,-,Severe,Severe,Moderate,None,Severe,Animation, Action, Drama
Pixels,2015,5.5,"137,442",105,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Animation, Action, Comedy
Haven,2015,7.5,"36,681",60,Series,TV-PG,78,Mild,Moderate,Mild,Mild,Mild,Crime, Drama, Fantasy
Ajeossi,2010,7.8,"66,462",119,Film,R,-,Mild,Severe,Severe,Moderate,Moderate,Action, Crime, Drama
Lake Placid,1999,5.7,"58,638",82,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Action, Comedy, Horror
Professor T.,1999,8,"1,828",53,Series,Not Rated,39,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Crime, Drama
Winter's Bone,2010,7.2,"139,513",100,Film,R,-,None,Moderate,Moderate,Severe,Mild,Drama, Mystery,
The Mummy,1932,7.1,"25,217",73,Film,Approved,-,None,Mild,None,None,Mild,Fantasy, Horror,
Sergio,2020,6.1,"9,130",118,Film,R,-,Moderate,Moderate,Mild,Mild,Mild,Biography, Drama, History
Patton,1970,7.9,"98,853",172,Film,PG,-,None,Moderate,Moderate,Mild,Moderate,Biography, Drama, War
Fried Barry,2020,5.6,"1,775",99,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Horror, Sci-Fi
10,1979,6.1,"17,216",122,Film,R,-,Severe,None,Mild,Moderate,None,Comedy, Romance,
Stealth,2005,5.1,"53,043",121,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Sci-Fi
The Gateway,2021,4.5,425,91,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Thriller,,
Crossing Lines,2021,7.3,"12,701",43,Series,TV-14,34,Moderate,Severe,Severe,None,No Rate,Action, Crime, Drama
Finding Alice,2021,5.8,"1,709",46,Series,Not Rated,7,No Rate,No Rate,No Rate,Mild,No Rate,Comedy, Drama,
Marathon Man,1976,7.4,"60,857",125,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Crime, Thriller,
Insidious: Chapter 2,2013,6.6,"162,978",106,Film,PG-13,-,None,Moderate,Mild,None,Severe,Horror, Mystery, Thriller
Hooligans,2005,7.4,"146,326",109,Film,R,-,None,Severe,Severe,Moderate,Moderate,Crime, Drama, Sport
The God Committee,2021,5.7,"2,615",98,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Thriller,,
Secrets of Sulphur Springs,2021,7.7,"1,637",24,Series,TV-PG,12,No Rate,No Rate,None,No Rate,Mild,Adventure, Drama, Family
The Grey,2011,6.8,"246,614",117,Film,R,-,None,Severe,Severe,Mild,Severe,Action, Adventure, Drama
Kung Fu Panda 3,2016,7.1,"144,918",95,Film,PG,-,None,Mild,None,None,Mild,Animation, Action, Adventure
You're the Worst,2016,8.1,"24,591",30,Series,TV-MA,62,Moderate,Mild,Severe,Severe,Mild,Comedy, Drama, Romance
"Good Morning, Miss Bliss",2016,6.8,"1,801",30,Series,TV-G,14,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Family,
Rawhide,2016,8,"3,506",50,Series,TV-PG,217,No Rate,No Rate,No Rate,No Rate,No Rate,Western,,
High-Rise,2015,5.6,"40,641",119,Film,R,-,Severe,Severe,Moderate,Severe,Moderate,Drama, Sci-Fi,
The Equalizer,2015,7.8,"4,900",48,Series,TV-PG,88,Mild,Mild,Mild,Mild,Mild,Action, Crime, Drama
I Am Sam,2001,7.6,"146,960",132,Film,PG-13,-,None,None,Mild,None,Mild,Drama,,
40 Days and 40 Nights,2002,5.6,"72,475",96,Film,R,-,Severe,None,Moderate,Mild,None,Comedy, Romance,
Waking the Dead,2002,7.9,"5,361",100,Series,TV-14,92,Moderate,Moderate,None,Mild,Moderate,Crime, Drama, Mystery
Hunter Killer,2018,6.6,"59,212",121,Film,R,-,None,Moderate,Moderate,None,Mild,Action, Thriller,
Law & Order: UK,2018,7.6,"4,094",46,Series,TV-14,53,Mild,Moderate,Moderate,Mild,No Rate,Crime, Drama, Mystery
The Rental,2020,5.7,"24,674",88,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate,Drama, Horror, Mystery
8MM,1999,6.5,"128,942",123,Film,R,-,Severe,Severe,Severe,Moderate,Severe,Crime, Drama, Mystery
About a Boy,2002,7.1,"179,143",101,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Drama, Romance
El olvido que seremos,2020,7.3,"1,285",136,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, History,
Bad Girls,2020,7.9,"2,125",90,Series,None,107,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama,
Tristan + Isolde,2006,6.8,"51,586",125,Film,PG-13,-,Mild,Moderate,None,None,Moderate,Action, Drama, Romance
Percy Jackson: Sea of Monsters,2013,5.8,"114,171",106,Film,PG,-,None,Moderate,Mild,Mild,Moderate,Adventure, Family, Fantasy
Rifkin's Festival,2020,6.2,"4,308",88,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Comedy,,
Aileen Wuornos: American Boogeywoman,2021,4.1,133,85,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Horror, Thriller
Dragon Ball Super: Doragon bôru cho,2021,8.3,"26,612",24,Series,TV-PG,131,None,Mild,Mild,None,Moderate,Animation, Action, Adventure
Saw IV,2007,5.9,"145,890",93,Film,R,-,Moderate,Severe,Severe,Mild,Severe,Crime, Horror, Mystery
The Color of Money,1986,7,"78,943",119,Film,R,-,Mild,Mild,Moderate,Mild,None,Drama, Sport,
Unknown,2011,6.8,"255,909",113,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Mystery, Thriller
To All the Boys I've Loved Before,2018,7.1,"97,268",99,Film,TV-14,-,Mild,None,Mild,None,None,Comedy, Drama, Romance
Meet the Parents,2000,7,"321,345",108,Film,PG-13,-,Mild,Mild,Moderate,Mild,None,Comedy, Romance,
Good Times,2000,7.3,"6,663",30,Series,TV-PG,133,None,Mild,Mild,Mild,None,Comedy,,
Continuum,2000,7.6,"59,321",45,Series,TV-14,42,Mild,Moderate,Mild,Mild,No Rate,Action, Sci-Fi, Thriller
Can't Buy Me Love,1987,6.8,"35,309",94,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Mild,Comedy, Drama, Romance
Mainstream,2020,4.9,"1,917",94,Film,R,-,Moderate,None,Severe,Mild,Mild,Comedy, Drama,
The Map of Tiny Perfect Things,2021,6.8,"17,466",98,Film,PG-13,-,None,None,Mild,Mild,None,Comedy, Fantasy, Romance
Exorcist II: The Heretic,1977,3.8,"23,604",117,Film,R,-,Mild,Moderate,Mild,None,Moderate,Horror,,
The Power of One,1992,7.2,"9,741",127,Film,PG-13,-,Mild,Moderate,Mild,No Rate,Moderate,Drama, Sport,
American Reunion,2012,6.7,"208,335",113,Film,R,-,Severe,Mild,Severe,Moderate,None,Comedy,,
The Lake House,2006,6.8,"144,977",99,Film,PG,-,None,None,None,Mild,None,Drama, Fantasy, Romance
Flight of the Conchords,2006,8.5,"57,597",28,Series,TV-MA,22,Mild,Mild,Moderate,Mild,None,Comedy, Music, Musical
Ek Thi Begum,2020,8.9,"6,037",27,Series,None,26,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama,
Robin Hood,1973,7.6,"120,934",83,Film,G,-,None,Mild,None,Mild,Mild,Animation, Adventure, Comedy
An Officer and a Gentleman,1982,7,"54,095",124,Film,R,-,Moderate,Moderate,Severe,Mild,Moderate,Drama, Romance,
The Jackal,1997,6.4,"112,644",124,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Crime, Drama
The King: Youngwonui Gunjoo,2020,8.3,"8,865",70,Series,TV-14,16,None,Moderate,Mild,Mild,Moderate,Fantasy, Mystery, Romance
The Nowhere Inn,2020,5.8,540,91,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama, Horror
The Artist,2011,7.9,"236,266",100,Film,PG-13,-,None,Mild,None,Mild,Mild,Comedy, Drama, Romance
To Catch a Spy,2021,6.3,595,90,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Mystery, Romance,
